00-03-7F   (base 16)	Atheros_Communications,_Inc.
28-CF-E9   (base 16)	Apple,_Inc.
28-E0-2C   (base 16)	Apple,_Inc.
28-E1-4C   (base 16)	Apple,_Inc.
2C-1F-23   (base 16)	Apple,_Inc.
2C-33-11   (base 16)	Apple,_Inc.
2C-33-61   (base 16)	Apple,_Inc.
2C-3A-E8   (base 16)	Apple,_Inc.
2C-B4-3A   (base 16)	Apple,_Inc.
30-3C-06   (base 16)	Cisco_Systems,_Inc
30-90-AB   (base 16)	Apple,_Inc.
30-F7-C5   (base 16)	Apple,_Inc.
34-12-F9   (base 16)	Apple,_Inc.
34-15-9E   (base 16)	Apple,_Inc.
34-36-3B   (base 16)	Apple,_Inc.
34-51-C9   (base 16)	Apple,_Inc.
34-A3-95   (base 16)	Apple,_Inc.
34-AB-37   (base 16)	Apple,_Inc.
34-C0-59   (base 16)	Apple,_Inc.
34-E2-FD   (base 16)	Apple,_Inc.
38-0F-4A   (base 16)	Apple,_Inc.
38-48-4C   (base 16)	Apple,_Inc.
38-89-2C   (base 16)	Apple,_Inc.
38-B5-4D   (base 16)	Apple,_Inc.
38-C9-86   (base 16)	Apple,_Inc.
38-CA-DA   (base 16)	Apple,_Inc.
3C-15-C2   (base 16)	Apple,_Inc.
3C-2E-F9   (base 16)	Apple,_Inc.
40-33-1A   (base 16)	Apple,_Inc.
40-3C-FC   (base 16)	Apple,_Inc.
40-4D-7F   (base 16)	Apple,_Inc.
40-6C-8F   (base 16)	Apple,_Inc.
40-9C-28   (base 16)	Apple,_Inc.
40-A6-D9   (base 16)	Apple,_Inc.
40-B3-95   (base 16)	Apple,_Inc.
40-CB-C0   (base 16)	Apple,_Inc.
40-D3-2D   (base 16)	Apple,_Inc.
44-00-10   (base 16)	Apple,_Inc.
44-2A-60   (base 16)	Apple,_Inc.
44-4C-0C   (base 16)	Apple,_Inc.
44-D8-84   (base 16)	Apple,_Inc.
44-FB-42   (base 16)	Apple,_Inc.
48-43-7C   (base 16)	Apple,_Inc.
48-60-BC   (base 16)	Apple,_Inc.
48-74-6E   (base 16)	Apple,_Inc.
48-7A-DA   (base 16)	Apple,_Inc.
48-A1-95   (base 16)	Apple,_Inc.
48-BF-6B   (base 16)	Apple,_Inc.
48-D7-05   (base 16)	Apple,_Inc.
4C-32-75   (base 16)	Apple,_Inc.
4C-57-CA   (base 16)	Apple,_Inc.
4C-7C-5F   (base 16)	Apple,_Inc.
4C-8D-79   (base 16)	Apple,_Inc.
4C-B1-99   (base 16)	Apple,_Inc.
50-32-37   (base 16)	Apple,_Inc.
50-7A-55   (base 16)	Apple,_Inc.
50-82-D5   (base 16)	Apple,_Inc.
50-EA-D6   (base 16)	Apple,_Inc.
54-26-96   (base 16)	Apple,_Inc.
54-4E-90   (base 16)	Apple,_Inc.
54-72-4F   (base 16)	Apple,_Inc.
54-9F-13   (base 16)	Apple,_Inc.
54-AE-27   (base 16)	Apple,_Inc.
54-E4-3A   (base 16)	Apple,_Inc.
58-40-4E   (base 16)	Apple,_Inc.
58-55-CA   (base 16)	Apple,_Inc.
58-B0-35   (base 16)	Apple,_Inc.
5C-59-48   (base 16)	Apple,_Inc.
5C-5F-67   (base 16)	Apple,_Inc.
5C-8D-4E   (base 16)	Apple,_Inc.
5C-95-AE   (base 16)	Apple,_Inc.
5C-96-9D   (base 16)	Apple,_Inc.
5C-F9-38   (base 16)	Apple,_Inc.
60-03-08   (base 16)	Apple,_Inc.
60-33-4B   (base 16)	Apple,_Inc.
60-69-44   (base 16)	Apple,_Inc.
60-92-17   (base 16)	Apple,_Inc.
60-C5-47   (base 16)	Apple,_Inc.
60-F8-1D   (base 16)	Apple,_Inc.
60-FA-CD   (base 16)	Apple,_Inc.
60-FB-42   (base 16)	Apple,_Inc.
64-20-0C   (base 16)	Apple,_Inc.
64-76-BA   (base 16)	Apple,_Inc.
64-9A-BE   (base 16)	Apple,_Inc.
64-A3-CB   (base 16)	Apple,_Inc.
64-B0-A6   (base 16)	Apple,_Inc.
64-B9-E8   (base 16)	Apple,_Inc.
68-09-27   (base 16)	Apple,_Inc.
68-5B-35   (base 16)	Apple,_Inc.
68-96-7B   (base 16)	Apple,_Inc.
68-A8-6D   (base 16)	Apple,_Inc.
68-AE-20   (base 16)	Apple,_Inc.
68-D9-3C   (base 16)	Apple,_Inc.
68-DB-F5   (base 16)	Apple,_Inc.
68-FE-F7   (base 16)	Apple,_Inc.
6C-19-C0   (base 16)	Apple,_Inc.
6C-3E-6D   (base 16)	Apple,_Inc.
6C-40-08   (base 16)	Apple,_Inc.
6C-4D-73   (base 16)	Apple,_Inc.
6C-70-9F   (base 16)	Apple,_Inc.
6C-72-E7   (base 16)	Apple,_Inc.
6C-8D-C1   (base 16)	Apple,_Inc.
6C-94-66   (base 16)	Apple,_Inc.
6C-96-CF   (base 16)	Apple,_Inc.
6C-AB-31   (base 16)	Apple,_Inc.
70-11-24   (base 16)	Apple,_Inc.
70-14-A6   (base 16)	Apple,_Inc.
70-3E-AC   (base 16)	Apple,_Inc.
70-48-0F   (base 16)	Apple,_Inc.
70-56-81   (base 16)	Apple,_Inc.
70-73-CB   (base 16)	Apple,_Inc.
70-81-EB   (base 16)	Apple,_Inc.
70-CD-60   (base 16)	Apple,_Inc.
70-DE-E2   (base 16)	Apple,_Inc.
70-E7-2C   (base 16)	Apple,_Inc.
70-EC-E4   (base 16)	Apple,_Inc.
74-1B-B2   (base 16)	Apple,_Inc.
74-81-14   (base 16)	Apple,_Inc.
74-E1-B6   (base 16)	Apple,_Inc.
74-E2-F5   (base 16)	Apple,_Inc.
78-31-C1   (base 16)	Apple,_Inc.
78-3A-84   (base 16)	Apple,_Inc.
78-48-59   (base 16)	Cisco_Systems,_Inc
78-4F-43   (base 16)	Apple,_Inc.
78-67-D7   (base 16)	Apple,_Inc.
78-6C-1C   (base 16)	Apple,_Inc.
78-7B-8A   (base 16)	Apple,_Inc.
78-88-6D   (base 16)	Apple,_Inc.
78-A3-E4   (base 16)	Apple,_Inc.
78-CA-39   (base 16)	Apple,_Inc.
78-D7-5F   (base 16)	Apple,_Inc.
78-FD-94   (base 16)	Apple,_Inc.
7C-01-91   (base 16)	Apple,_Inc.
7C-04-D0   (base 16)	Apple,_Inc.
7C-11-BE   (base 16)	Apple,_Inc.
7C-50-49   (base 16)	Apple,_Inc.
7C-6D-62   (base 16)	Apple,_Inc.
7C-6D-F8   (base 16)	Apple,_Inc.
7C-C3-A1   (base 16)	Apple,_Inc.
7C-D1-C3   (base 16)	Apple,_Inc.
7C-F0-5F   (base 16)	Apple,_Inc.
7C-FA-DF   (base 16)	Apple,_Inc.
80-00-6E   (base 16)	Apple,_Inc.
80-49-71   (base 16)	Apple,_Inc.
80-92-9F   (base 16)	Apple,_Inc.
80-BE-05   (base 16)	Apple,_Inc.
80-D6-05   (base 16)	Apple,_Inc.
80-E6-50   (base 16)	Apple,_Inc.
80-EA-96   (base 16)	Apple,_Inc.
84-38-35   (base 16)	Apple,_Inc.
84-61-63   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
84-85-06   (base 16)	Apple,_Inc.
84-89-AD   (base 16)	Apple,_Inc.
84-8E-0C   (base 16)	Apple,_Inc.
84-A1-34   (base 16)	Apple,_Inc.
84-FC-FE   (base 16)	Apple,_Inc.
88-1F-A1   (base 16)	Apple,_Inc.
88-53-2E   (base 16)	Apple,_Inc.
88-63-DF   (base 16)	Apple,_Inc.
88-66-5A   (base 16)	Apple,_Inc.
88-6B-6E   (base 16)	Apple,_Inc.
88-CB-87   (base 16)	Apple,_Inc.
88-E8-7F   (base 16)	Apple,_Inc.
8C-00-6D   (base 16)	Apple,_Inc.
8C-2D-AA   (base 16)	Apple,_Inc.
8C-29-37   (base 16)	Apple,_Inc.
8C-58-77   (base 16)	Apple,_Inc.
8C-7B-9D   (base 16)	Apple,_Inc.
8C-7C-92   (base 16)	Apple,_Inc.
8C-85-90   (base 16)	Apple,_Inc.
8C-8E-F2   (base 16)	Apple,_Inc.
90-27-E4   (base 16)	Apple,_Inc.
90-72-40   (base 16)	Apple,_Inc.
90-84-0D   (base 16)	Apple,_Inc.
90-B0-ED   (base 16)	Apple,_Inc.
90-B2-1F   (base 16)	Apple,_Inc.
94-0C-6D   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
94-BF-2D   (base 16)	Apple,_Inc.
94-E9-6A   (base 16)	Apple,_Inc.
94-F6-A3   (base 16)	Apple,_Inc.
98-03-D8   (base 16)	Apple,_Inc.
98-0D-2E   (base 16)	Apple,_Inc.
98-5A-EB   (base 16)	Apple,_Inc.
98-B8-E3   (base 16)	Apple,_Inc.
98-CA-33   (base 16)	Apple,_Inc.
98-D6-BB   (base 16)	Apple,_Inc.
98-E0-D9   (base 16)	Apple,_Inc.
98-F0-AB   (base 16)	Apple,_Inc.
98-FE-94   (base 16)	Apple,_Inc.
9C-04-EB   (base 16)	Apple,_Inc.
9C-20-7B   (base 16)	Apple,_Inc.
9C-28-EF   (base 16)	Apple,_Inc.
9C-29-3F   (base 16)	Apple,_Inc.
9C-35-5B   (base 16)	Apple,_Inc.
9C-41-7C   (base 16)	Cisco_Systems,_Inc
9C-84-BF   (base 16)	Apple,_Inc.
9C-B6-D0   (base 16)	Apple,_Inc.
9C-D2-1E   (base 16)	Apple,_Inc.
9C-F4-8E   (base 16)	Apple,_Inc.
9C-FC-E8   (base 16)	Apple,_Inc.
A0-18-28   (base 16)	Apple,_Inc.
A0-3B-E3   (base 16)	Apple,_Inc.
A0-4E-A7   (base 16)	Apple,_Inc.
A0-77-88   (base 16)	Apple,_Inc.
A0-99-9B   (base 16)	Apple,_Inc.
A0-D7-95   (base 16)	Apple,_Inc.
A0-EC-F9   (base 16)	Apple,_Inc.
A4-31-35   (base 16)	Apple,_Inc.
A4-5E-60   (base 16)	Apple,_Inc.
A4-67-06   (base 16)	Apple,_Inc.
A4-B1-97   (base 16)	Apple,_Inc.
A4-C3-61   (base 16)	Apple,_Inc.
A4-D1-8C   (base 16)	Apple,_Inc.
A4-D1-D2   (base 16)	Apple,_Inc.
A4-E9-75   (base 16)	Apple,_Inc.
A8-20-66   (base 16)	Apple,_Inc.
A8-5B-78   (base 16)	Apple,_Inc.
A8-60-B6   (base 16)	Apple,_Inc.
A8-66-7F   (base 16)	Apple,_Inc.
A8-8E-24   (base 16)	Apple,_Inc.
A8-96-8A   (base 16)	Apple,_Inc.
A8-BB-CF   (base 16)	Apple,_Inc.
A8-FA-D8   (base 16)	Apple,_Inc.
AC-1F-74   (base 16)	Apple,_Inc.
AC-29-3A   (base 16)	Apple,_Inc.
AC-3C-0B   (base 16)	Apple,_Inc.
AC-61-EA   (base 16)	Apple,_Inc.
AC-7F-3E   (base 16)	Apple,_Inc.
AC-87-A3   (base 16)	Apple,_Inc.
AC-BC-32   (base 16)	Apple,_Inc.
AC-CF-5C   (base 16)	Apple,_Inc.
AC-DE-48   (base 16)	Apple,_Inc.
AC-E4-B5   (base 16)	Apple,_Inc.
AC-FD-EC   (base 16)	Apple,_Inc.
B0-09-DA   (base 16)	Apple,_Inc.
B0-34-95   (base 16)	Apple,_Inc.
B0-48-7A   (base 16)	Apple,_Inc.
B0-65-BD   (base 16)	Apple,_Inc.
B0-70-2D   (base 16)	Apple,_Inc.
B0-CA-68   (base 16)	Apple,_Inc.
B4-18-D1   (base 16)	Apple,_Inc.
B4-8B-19   (base 16)	Apple,_Inc.
B4-8A-0A   (base 16)	Apple,_Inc.
B4-F0-AB   (base 16)	Apple,_Inc.
B4-F1-DA   (base 16)	Apple,_Inc.
B8-09-8A   (base 16)	Apple,_Inc.
B8-17-C2   (base 16)	Apple,_Inc.
B8-41-A4   (base 16)	Apple,_Inc.
B8-44-D9   (base 16)	Apple,_Inc.
B8-53-AC   (base 16)	Apple,_Inc.
B8-63-4D   (base 16)	Apple,_Inc.
B8-78-2E   (base 16)	Apple,_Inc.
B8-8D-12   (base 16)	Apple,_Inc.
B8-C1-11   (base 16)	Apple,_Inc.
B8-C7-5D   (base 16)	Apple,_Inc.
B8-E8-56   (base 16)	Apple,_Inc.
B8-F6-B1   (base 16)	Apple,_Inc.
B8-FF-61   (base 16)	Apple,_Inc.
BC-3B-AF   (base 16)	Apple,_Inc.
BC-52-B7   (base 16)	Apple,_Inc.
BC-54-2F   (base 16)	Apple,_Inc.
BC-67-1C   (base 16)	Apple,_Inc.
BC-6C-21   (base 16)	Apple,_Inc.
BC-92-6B   (base 16)	Apple,_Inc.
BC-9F-EF   (base 16)	Apple,_Inc.
BC-A9-20   (base 16)	Apple,_Inc.
BC-D0-74   (base 16)	Apple,_Inc.
BC-EC-5D   (base 16)	Apple,_Inc.
C0-1A-DA   (base 16)	Apple,_Inc.
C0-63-94   (base 16)	Apple,_Inc.
C0-84-7D   (base 16)	Apple,_Inc.
C0-9A-D0   (base 16)	Apple,_Inc.
C0-B6-58   (base 16)	Apple,_Inc.
C0-CC-F8   (base 16)	Apple,_Inc.
C0-CE-CD   (base 16)	Apple,_Inc.
C0-D0-12   (base 16)	Apple,_Inc.
C4-2C-03   (base 16)	Apple,_Inc.
C4-B3-01   (base 16)	Apple,_Inc.
C8-33-4B   (base 16)	Apple,_Inc.
C8-60-00   (base 16)	Apple,_Inc.
C8-69-CD   (base 16)	Apple,_Inc.
C8-6F-1D   (base 16)	Apple,_Inc.
C8-85-50   (base 16)	Apple,_Inc.
C8-B5-B7   (base 16)	Apple,_Inc.
C8-BC-C8   (base 16)	Apple,_Inc.
C8-D0-83   (base 16)	Apple,_Inc.
C8-E0-EB   (base 16)	Apple,_Inc.
C8-F6-50   (base 16)	Apple,_Inc.
CC-08-8D   (base 16)	Apple,_Inc.
CC-25-EF   (base 16)	Apple,_Inc.
CC-29-F5   (base 16)	Apple,_Inc.
CC-2D-B7   (base 16)	Apple,_Inc.
CC-44-63   (base 16)	Apple,_Inc.
CC-4463   (base 16)	Apple,_Inc.
CC-78-5F   (base 16)	Apple,_Inc.
D0-03-4B   (base 16)	Apple,_Inc.
D0-23-DB   (base 16)	Apple,_Inc.
D0-25-98   (base 16)	Apple,_Inc.
D0-33-11   (base 16)	Apple,_Inc.
D0-81-7A   (base 16)	Apple,_Inc.
D0-A6-37   (base 16)	Apple,_Inc.
D0-C5-F3   (base 16)	Apple,_Inc.
D0-D2-B0   (base 16)	Apple,_Inc.
D0-E1-40   (base 16)	Apple,_Inc.
D4-61-9D   (base 16)	Apple,_Inc.
D4-85-64   (base 16)	Apple,_Inc.
D4-90-9C   (base 16)	Apple,_Inc.
D4-9A-20   (base 16)	Apple,_Inc.
D4-A3-3D   (base 16)	Apple,_Inc.
D4-DC-CD   (base 16)	Apple,_Inc.
D4-F4-6F   (base 16)	Apple,_Inc.
D8-00-4D   (base 16)	Apple,_Inc.
D8-1C-79   (base 16)	Apple,_Inc.
D8-30-62   (base 16)	Apple,_Inc.
D8-96-95   (base 16)	Apple,_Inc.
D8-9E-3F   (base 16)	Apple,_Inc.
D8-A2-5E   (base 16)	Apple,_Inc.
D8-BB-2C   (base 16)	Apple,_Inc.
D8-CF-9C   (base 16)	Apple,_Inc.
DC-0C-5C   (base 16)	Apple,_Inc.
DC-2B-2A   (base 16)	Apple,_Inc.
DC-2B-61   (base 16)	Apple,_Inc.
DC-37-15   (base 16)	Cisco_Systems,_Inc
DC-3F-07   (base 16)	Apple,_Inc.
DC-56-E7   (base 16)	Apple,_Inc.
DC-86-D8   (base 16)	Apple,_Inc.
DC-9B-9C   (base 16)	Apple,_Inc.
DC-A4-CA   (base 16)	Apple,_Inc.
DC-A9-04   (base 16)	Apple,_Inc.
DC-BF-E9   (base 16)	Apple,_Inc.
E0-89-9D   (base 16)	Apple,_Inc.
E0-AC-CB   (base 16)	Apple,_Inc.
E0-B5-2D   (base 16)	Apple,_Inc.
E0-B9-A5   (base 16)	Apple,_Inc.
E0-C7-67   (base 16)	Apple,_Inc.
E0-C9-7A   (base 16)	Apple,_Inc.
E0-F5-C6   (base 16)	Apple,_Inc.
E0-F8-47   (base 16)	Apple,_Inc.
E4-25-E7   (base 16)	Apple,_Inc.
E4-8B-7F   (base 16)	Apple,_Inc.
E4-9A-79   (base 16)	Apple,_Inc.
E4-C6-3D   (base 16)	Apple,_Inc.
E4-CE-8F   (base 16)	Apple,_Inc.
E8-04-0B   (base 16)	Apple,_Inc.
E8-06-88   (base 16)	Apple,_Inc.
E8-40-40   (base 16)	Apple,_Inc.
E8-80-2E   (base 16)	Apple,_Inc.
E8-8D-28   (base 16)	Apple,_Inc.
E8-B2-AC   (base 16)	Apple,_Inc.
EC-35-86   (base 16)	Apple,_Inc.
EC-85-2F   (base 16)	Apple,_Inc.
EC-CB-30   (base 16)	Apple,_Inc.
F0-18-98   (base 16)	Apple,_Inc.
F0-24-75   (base 16)	Apple,_Inc.
F0-98-9D   (base 16)	Apple,_Inc.
F0-B4-79   (base 16)	Apple,_Inc.
F0-C1-F1   (base 16)	Apple,_Inc.
F0-CB-A1   (base 16)	Apple,_Inc.
F0-D1-A9   (base 16)	Apple,_Inc.
F0-DB-E2   (base 16)	Apple,_Inc.
F0-DC-E2   (base 16)	Apple,_Inc.
F0-F6-1C   (base 16)	Apple,_Inc.
F4-0F-24   (base 16)	Apple,_Inc.
F4-1B-A1   (base 16)	Apple,_Inc.
F4-37-B7   (base 16)	Apple,_Inc.
F4-5C-89   (base 16)	Apple,_Inc.
F4-F1-5A   (base 16)	Apple,_Inc.
F4-F9-51   (base 16)	Apple,_Inc.
F8-1E-DF   (base 16)	Apple,_Inc.
F8-27-93   (base 16)	Apple,_Inc.
F8-2D-7C   (base 16)	Apple,_Inc.
F8-95-C7   (base 16)	Apple,_Inc.
FC-25-3F   (base 16)	Apple,_Inc.
FC-64-BA   (base 16)	Apple,_Inc.
FC-E9-98   (base 16)	Apple,_Inc.
FC-FC-48   (base 16)	Apple,_Inc.
00-17-88   (base 16)	Philips_Lighting_BV
00-1E-C0   (base 16)	SAMSUNG_ELECTRO-MECHANICS(THAILAND)
00-1E-E2   (base 16)	Hewlett_Packard
04-6C-59   (base 16)	Tp-Link_Technologies_Co.,Ltd.
04-D4-C4   (base 16)	Hewlett_Packard_Company
04-FE-7F   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
08-00-69   (base 16)	Silicon_Graphics
08-96-D7   (base 16)	Hewlett_Packard
0C-4D-E9   (base 16)	Apple,_Inc.
0C-D2-92   (base 16)	Liteon_Technology_Corporation
10-C3-7B   (base 16)	Samsung_Electronics_Co.,Ltd
14-E6-E4   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
18-0F-76   (base 16)	Intel_Corporate
1C-B7-2C   (base 16)	Samsung_Electronics_Co.,Ltd
1C-DE-A7   (base 16)	AzureWave_Technology_Inc.
20-4E-7F   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
24-DF-6A   (base 16)	Microsoft_Corporation
28-16-A8   (base 16)	Zyxel_Communications_Corporation
2C-F0-5D   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
34-17-EB   (base 16)	Intel_Corporate
34-23-BA   (base 16)	GUANGDONG_OPPO_MOBILE_TELECOMMUNICATIONS_CORP.,LTD
3C-A9-F4   (base 16)	Samsung_Electronics_Co.,Ltd
40-16-7E   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
44-8A-5B   (base 16)	Belkin_International_Inc.
48-5D-60   (base 16)	Liteon_Technology_Corporation
4C-EB-42   (base 16)	Intel_Corporate
50-46-5D   (base 16)	AzureWave_Technology_Inc.
54-83-3A   (base 16)	Belkin_International_Inc.
58-00-E3   (base 16)	SAMSUNG_ELECTRO-MECHANICS(THAILAND)
60-8C-4A   (base 16)	Fiberhome_Telecommunication_Technologies_Co.,LTD
64-6E-97   (base 16)	Texas_Instruments
64-76-BA   (base 16)	Apple,_Inc.
64-BC-0C   (base 16)	LG_Electronics_(Mobile_Communications)
68-5D-43   (base 16)	Intel_Corporate
6C-E8-73   (base 16)	Texas_Instruments
70-5A-9E   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
70-B3-D5   (base 16)	IEEE_Registration_Authority
74-29-AF   (base 16)	Liteon_Technology_Corporation
74-40-BB   (base 16)	ASUSTek_COMPUTER_INC.
74-D0-2B   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
78-02-F8   (base 16)	Intel_Corporate
78-44-76   (base 16)	Xiaomi_Communications_Co_Ltd
78-D3-8D   (base 16)	Liteon_Technology_Corporation
7C-5C-F8   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
7C-B0-C2   (base 16)	Intel_Corporate
7C-BB-8A   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
80-56-F2   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
80-86-F2   (base 16)	Routerboard.com
84-16-F9   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
84-25-DB   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
84-A1-D1   (base 16)	Zyxel_Communications_Corporation
88-53-95   (base 16)	Liteon_Technology_Corporation
8C-79-F5   (base 16)	Samsung_Electronics_Co.,Ltd
90-6E-BB   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
90-E2-FC   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
94-57-A5   (base 16)	Sony_Mobile_Communications_AB
98-01-A7   (base 16)	Apple,_Inc.
98-DE-D0   (base 16)	Intel_Corporate
9C-B6-54   (base 16)	SAMSUNG_ELECTRO-MECHANICS(THAILAND)
A0-2B-B8   (base 16)	LG_Electronics_(Mobile_Communications)
A0-88-69   (base 16)	Texas_Instruments
A0-8C-FD   (base 16)	Samsung_Electronics_Co.,Ltd
A4-50-46   (base 16)	Intel_Corporate
A8-BB-50   (base 16)	Murata_Manufacturing_Co.,_Ltd.
AC-22-0B   (base 16)	GUANGDONG_OPPO_MOBILE_TELECOMMUNICATIONS_CORP.,LTD
AC-37-43   (base 16)	SAMSUNG_ELECTRO_MECHANICS_CO.,_LTD.
AC-5A-F0   (base 16)	Zyxel_Communications_Corporation
AC-CF-85   (base 16)	Liteon_Technology_Corporation
B0-BE-76   (base 16)	Intel_Corporate
B4-0E-DE   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
B8-27-EB   (base 16)	Raspberry_Pi_Foundation
B8-EE-65   (base 16)	Liteon_Technology_Corporation
BC-EE-7B   (base 16)	ASUSTek_COMPUTER_INC.
C0-18-03   (base 16)	Samsung_Electronics_Co.,Ltd
C4-6E-1F   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
C4-85-08   (base 16)	Liteon_Technology_Corporation
C8-3A-35   (base 16)	Tenda_Technology_Co.,Ltd.Dongguan_branch
C8-F7-33   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
CC-2D-21   (base 16)	Edimax_Technology_Co._Ltd.
CC-B0-DA   (base 16)	Samsung_Electronics_Co.,Ltd
D0-17-C2   (base 16)	Samsung_Electronics_Co.,Ltd
D4-6A-A8   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
D4-6E-0E   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
D8-50-E6   (base 16)	ASUSTek_COMPUTER_INC.
DC-85-DE   (base 16)	Liteon_Technology_Corporation
E0-28-6D   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
E0-B9-4D   (base 16)	SAMSUNG_ELECTRO-MECHANICS(THAILAND)
E4-A7-A0   (base 16)	IEEE_Registration_Authority
E8-48-B8   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
EC-08-6B   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
F0-9F-C2   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
F4-6D-04   (base 16)	TP-LINK_TECHNOLOGIES_CO.,LTD.
F4-8C-50   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
F4-F5-E8   (base 16)	Google,_Inc.
F8-0F-41   (base 16)	HUAWEI_TECHNOLOGIES_CO.,LTD
F8-A9-D0   (base 16)	Liteon_Technology_Corporation
FC-F8-AE   (base 16)	Hon_Hai_Precision_Ind._Co.,Ltd.
00-16-EA   (base 16)	INTEL_CORPORATION
00-0C-29   (base 16)	VMware,_Inc.
